@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
220,13793,61,13898,161,0.988548,0.995597,0.498104,0.995597,0.501896,0.664003,0.992047,1.003579,0
221,13792,62,13898,161,0.988548,0.995525,0.498086,0.995525,0.501914,0.663971,0.992011,1.003542,0
222,13792,62,13897,162,0.988477,0.995525,0.498104,0.995525,0.501896,0.663987,0.991975,1.003578,0
223,13791,63,13897,162,0.988477,0.995453,0.498086,0.995453,0.501914,0.663955,0.991939,1.003542,0
224,13790,64,13897,162,0.988477,0.99538,0.498068,0.99538,0.501932,0.663922,0.991903,1.003505,0
225,13790,64,13896,163,0.988406,0.99538,0.498086,0.99538,0.501914,0.663938,0.991868,1.003542,0
226,13790,64,13895,164,0.988335,0.99538,0.498104,0.99538,0.501896,0.663954,0.991832,1.003578,0
227,13789,65,13895,164,0.988335,0.995308,0.498086,0.995308,0.501914,0.663922,0.991796,1.003541,0
228,13789,65,13894,165,0.988264,0.995308,0.498104,0.995308,0.501896,0.663938,0.99176,1.003578,0
229,13789,65,13893,166,0.988193,0.995308,0.498122,0.995308,0.501878,0.663954,0.991724,1.003614,0
230,13789,65,13892,167,0.988121,0.995308,0.49814,0.995308,0.50186,0.66397,0.991688,1.00365,0
231,13788,66,13892,167,0.988121,0.995236,0.498121,0.995236,0.501879,0.663938,0.991653,1.003614,0
